id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19223154,Tranquil Studio in quiet old Seattle neighborhood,20866076,Mickey,Other neighborhoods,Bryant,47.667226020173594,-122.28881953070506,Private room,75,2,3,2018-09-02,0.19,1,258
19226513,Downtown Artist’s Loft in Historic Building,91890120,Jasmine,Downtown,Belltown,47.61378669819523,-122.34795691115593,Entire home/apt,150,2,36,2018-10-28,2.24,1,8
19227655,Belltown Oasis,134605552,J.B.,Downtown,Belltown,47.615233593483154,-122.34809724331926,Entire home/apt,195,2,27,2018-05-31,1.73,1,24
19229142,Quiet Room in The Central District,1346749,April,Capitol Hill,Stevens,47.63432484523233,-122.31105710003652,Private room,150,3,1,2017-06-17,0.06,1,0
19229958,The Woodland Park Studio,20130582,Hailey And Dave,Other neighborhoods,Fremont,47.66278513823595,-122.35238575311384,Entire home/apt,81,1,117,2018-10-22,7.01,2,126
19230052,D02 Studio ONE block from Light Rail.,124636534,Luciana,Capitol Hill,Broadway,47.6200630617737,-122.31873703952705,Entire home/apt,125,2,61,2018-10-28,3.53,7,336
19247472,Modern Apartment in Ideal Location,9224560,Dee,Rainier Valley,Columbia City,47.5595035310709,-122.29125953068011,Entire home/apt,150,4,1,2017-07-10,0.06,2,0
19249930,Shared space - living room in Lake City,131017,Susan,Lake City,Cedar Park,47.71797897515072,-122.29535613928762,Shared room,44,2,20,2018-08-20,1.17,2,15
19264190,Banner House – Your home in the heart of Seattle,134888740,Christine,Other neighborhoods,Roosevelt,47.68391285307024,-122.32047971149635,Entire home/apt,345,2,35,2018-10-21,5.05,1,305
19264686,"Views, Views, Views!  Pike Place Market Apartment",94977900,Lee & Sophia,Downtown,Pike-Market,47.61023366801491,-122.34319199527218,Entire home/apt,189,2,39,2018-09-23,2.33,1,60
19265370,Cozy house (with baby room) in Columbia City!,34477535,Iwona  & Miron,Rainier Valley,Columbia City,47.55184907686919,-122.2845847863606,Entire home/apt,200,4,0,,,1,0
19266799,Sunny Mountain View House in Seattle,18472878,Katie,Other neighborhoods,Fremont,47.662371866420685,-122.35416163503878,Entire home/apt,134,2,0,,,2,0
19267447,Modern home in the heart of Seattle,96750394,Elie,Central Area,Minor,47.60322199023937,-122.31398761609584,Private room,129,1,96,2018-11-12,5.64,1,163
19271296,North Seattle Somethin' for Everyone!,72531318,April,Northgate,Haller Lake,47.722193768360974,-122.32966049343948,Entire home/apt,119,2,45,2018-10-21,2.65,1,85
19271432,Huge Walkable Georgetown Craftsman - Sleeps 18,5325329,Blair,Other neighborhoods,Georgetown,47.54389346619974,-122.32128097000799,Entire home/apt,475,1,134,2018-10-30,8.24,11,149
19272024,Garden Level View Apartment,134729791,James,West Seattle,Gatewood,47.541206339635735,-122.38354902077877,Entire home/apt,100,5,4,2018-08-12,0.25,1,72
19274366,Craftsman Green Lake Home,15732960,Massimo & Mary,Other neighborhoods,Green Lake,47.68737264951375,-122.32901454712639,Entire home/apt,325,5,7,2018-09-24,0.59,1,351
19274420,Beautiful Madrona Room (Bedroom 1),134978567,Marisa,Central Area,Madrona,47.613503029025075,-122.29259753439656,Private room,150,2,1,2017-08-10,0.06,2,0
19293242,Entire 3BR house in Magnolia -Seattle,69342526,Mahdi & Delasa,Magnolia,Lawton Park,47.65191972768068,-122.38439806294889,Entire home/apt,0,1,12,2018-08-11,0.80,2,0
19297126,Mi casa es tú casa,133614861,Aurelio,Delridge,South Delridge,47.522630081431416,-122.3623291571664,Entire home/apt,75,14,1,2017-08-05,0.06,1,0
19308671,Southern Bryant Tudor Home,65238919,Alysson,Other neighborhoods,Bryant,47.66264066321705,-122.28753007496837,Entire home/apt,250,3,11,2018-06-12,0.65,2,0
19311666,Make a Home Amongst the Succulents,14343317,Lacy,Beacon Hill,North Beacon Hill,47.5830779449285,-122.31539914226444,Private room,60,1,0,,,2,0
